电影,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDb链接
波西米亚狂想曲,布莱恩·辛格,安东尼·麦卡滕/皮特·摩根,拉米·马雷克/本·哈迪/约瑟夫·梅泽罗/格威利姆·李/艾伦·里奇/露西·宝通/艾丹·吉伦/汤姆·霍兰德/麦克·梅尔斯/阿隆·麦克卡斯克/梅内卡·达斯/迪基·博/蒂姆·普莱斯特/杰克·罗思/马克斯·班内特/基兰·哈德卡斯托/罗斯·格林/布鲁斯·麦克金伦/米歇尔·邓肯/马特·格林伍德/罗茜·本杰明/约翰·奥特曼/詹姆斯·华莱士/文森特·阿德里安/拉斯科·阿特金斯/乔纳森·奇塔姆/迈克尔·科布/耶稣·加洛/亚当·兰伯特/豪尔赫·莱昂·马丁内斯/杰森·莱恩斯/伊斯雷尔·鲁兹,剧情/音乐/传记,英国/美国,英语,2019-03-22(中国大陆)/2018-11-02(美国),135分钟/131分钟(中国大陆),波希米亚狂想曲：摇滚传说(港)/波希米亚狂想曲(台),tt1727824
疯狂的外星人,宁浩,孙小杭/董润年/吴楠/刘晓丹/潘依然,黄渤/沈腾/汤姆·派福瑞/马修·莫里森/徐峥/于和伟/雷佳音/刘桦/邓飞/蔡明凯/王戈/凯特·纳尔逊/王砚伟/呲路,喜剧/科幻,中国大陆,汉语普通话/英语,2019-02-05(中国大陆),116分钟,CrazyAlien,tt6660238
海市蜃楼,奥里奥尔·保罗,奥里奥尔·保罗/拉拉·森迪姆,阿德里亚娜·乌加特/奇诺·达林/阿尔瓦罗·莫奇/诺拉·纳瓦斯/哈维尔·古铁雷斯/米格尔·费南德斯/克拉拉·塞古拉/米玛·里埃拉/艾娜·克洛特/阿尔伯特·佩雷斯/弗兰塞斯克·奥雷利亚/阿娜·瓦格纳/西尔维亚·阿隆索/贝伦·鲁埃达,科幻/悬疑/惊悚,西班牙,西班牙语,2019-03-28(中国大陆)/2018-11-30(西班牙),128分钟,暴风雨的幻象/风暴/DuringtheStorm/Mirage,tt6908274
阳台上,张猛,刘雅/任晓雯,周冬雨/王锵/曹瑞,剧情,中国大陆,汉语普通话,2019-03-15(中国大陆),100分钟,OntheBalcony,tt9690762
小偷家族,是枝裕和,是枝裕和,中川雅也/安藤樱/松冈茉优/城桧吏/佐佐木美结/树木希林/绪形直人/池松壮亮/森口瑶子/山田裕贵/片山萌美/柄本明/高良健吾/池胁千鹤,剧情/家庭/犯罪,日本,日语,2018-08-03(中国大陆)/2018-05-13(戛纳电影节)/2018-06-08(日本),117分钟(中国大陆)/121分钟,Shoplifters/UneAffairedeFamille/Manbikikazoku,tt8075192
新喜剧之王,周星驰,周星驰,王宝强/鄂靖文/张全蛋/景如洋/张琪/袁兴哲/田启文/黄骁鹏/蔡哲睿/苗溢伦,剧情/喜剧,中国大陆/香港,汉语普通话/粤语,2019-02-05(中国大陆),91分钟,喜剧之王2/D计划/TheNewKingofComedy/KingofComedy2,tt9368628
绿皮书,彼得·法雷里,尼克·瓦莱隆加/布莱恩·海耶斯·库瑞/彼得·法雷里,维果·莫腾森/马赫沙拉·阿里/琳达·卡德里尼/塞巴斯蒂安·马尼斯科/迪米特·D·马里诺夫/迈克·哈顿/P·J·伯恩/乔·柯蒂斯/玛姬·尼克松/冯·刘易斯/乔恩·索特兰/唐·斯达克/安东尼·曼加诺/保罗·斯隆/珍娜·劳伦索/肯尼斯·以色列/伊克博·塞巴/尼克·瓦莱隆加/大卫·安/迈克·切罗内/杰拉尔丁·辛格/马丁·巴特斯·布拉德福德/格拉伦·布莱恩特·班克斯/汤姆·维图/夏恩·帕特洛/丹尼斯·W·霍尔/吉姆·克洛克/戴恩·罗兹/布赖恩·斯特帕尼克/乔恩·迈克尔·戴维斯/布莱恩·海耶斯·库瑞/托尼亚·马尔多纳多,剧情/喜剧/传记,美国,英语/意大利语/俄语/德语,2019-03-01(中国大陆)/2018-09-11(多伦多电影节)/2018-11-16(美国),130分钟,绿簿旅友(港)/幸福绿皮书(台)/绿书,tt6966692
密室逃生,亚当·罗比特尔,布拉吉·F·舒特/玛丽亚·梅尔尼克,泰勒·拉塞尔/洛根·米勒/黛博拉·安沃尔/泰勒·莱伯恩/杰·埃利斯/尼克·多达尼/杰西卡·萨顿/约里克·范·韦杰宁根/杰米-李·蒙尼/亚当·罗比特尔/韦尔·廷德尔/肯尼思·霍/科尼利厄斯·吉尼/保罗·汉普赛尔/佩泰·塞彭克/丹·格伦伯格/吉诺·李,悬疑/惊悚,美国,英语,2019-01-18(中国大陆)/2019-01-04(美国),99分钟,密室逃殺(港)/密弑游戏(台)/密室逃脱/逃生室/迷宫/TheEscapeRoom,tt5886046
神童,尼古拉斯·麦卡锡,杰夫·布勒,泰勒·席林/布列塔尼·艾伦/杰克逊·罗伯特·斯科特/科鲁姆·费奥瑞/彼得·穆尼/奥妮克·阿德莉/艾丽莎·莫勒切里/宝拉·布德罗/保罗·福托/戴维·科赫史密斯/马克·史派克/迈克尔·戴森,惊悚/恐怖,香港/美国,英语,2019-02-08(美国),92分钟,鬼裔(台)/后裔/Descendant,tt4504044
钱,朴世上,朴世上,柳俊烈/刘智泰,犯罪,韩国,韩语,2019-03-20(韩国),115分钟,万诱金钱(港)/钱力游戏(台)/金钱/Money,tt6890618
